name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Bring Night,We Are Born (ARIA Awards Edition),Sia,2010-11-05,2.96,32,0.6729999999999999,0.008459999999999999,0.6729999999999999,0.893,0.00159,0.0716,-3.443,0.0826,139.875,4,2010,True
Kill And Run,Music From Baz Luhrmann's Film The Great Gatsby (International Streaming Version),Various Artists,2013-01-01,3.6,50,0.152,0.639,0.152,0.33399999999999996,6.95e-05,0.115,-4.735,0.0306,71.72800000000001,4,2013,False
Buttons - Bart Hendrix Deep Dope Remix,Buttons,Sia,2009-02-09,6.18,0,0.8,0.187,0.8,0.759,0.8640000000000001,0.0988,-12.279000000000002,0.0564,127.00200000000001,4,2009,True
"Thunderclouds (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,3.12,80,0.69,0.0077,0.69,0.7140000000000001,7.23e-05,0.191,-5.9479999999999995,0.0338,112.009,4,2019,True
"Genius (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,3.56,77,0.603,0.0799,0.603,0.615,6.720000000000001e-05,0.11699999999999999,-4.931,0.165,158.657,4,2019,True
"No New Friends (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,2.93,77,0.725,0.0632,0.725,0.703,0.000251,0.14,-4.641,0.0466,106.03200000000001,4,2019,True
"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,3.26,64,0.585,0.034,0.585,0.525,2.6000000000000002e-05,0.139,-5.915,0.0817,167.81099999999998,3,2019,True
"Welcome to the Wonderful World of (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,1.94,57,0.499,0.0799,0.499,0.324,0.0,0.35200000000000004,-7.944,0.0641,119.266,4,2019,True
"Angel in Your Eyes (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,3.1,60,0.607,0.0288,0.607,0.616,0.0439,0.138,-6.925,0.0581,184.111,4,2019,True
"Audio (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,3.4,74,0.568,0.209,0.568,0.701,1.06e-06,0.0769,-4.566,0.0426,89.969,4,2019,True
"Mountains (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,3.25,62,0.625,0.39,0.625,0.601,0.0348,0.0894,-7.766,0.0285,85.96700000000001,4,2019,True
"It's Time (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,3.5,57,0.39799999999999996,0.934,0.39799999999999996,0.245,0.0,0.134,-9.215,0.0351,87.079,4,2019,True
"Genius (feat. Sia, Diplo, and Labrinth) - Lil Wayne Remix","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019-04-12,2.72,64,0.655,0.0147,0.655,0.764,8.88e-05,0.0511,-3.3810000000000002,0.193,159.017,4,2019,True
I'm Still Here,I'm Still Here,Sia,2018-10-12,4.03,63,0.43700000000000006,0.0069700000000000005,0.43700000000000006,0.7190000000000001,3.86e-05,0.0765,-4.569,0.0376,169.976,4,2018,True
Santa's Coming For Us,Everyday Is Christmas,Sia,2017-11-17,3.44,76,0.669,0.0205,0.669,0.8540000000000001,0.0,0.047,-4.486000000000001,0.0999,93.057,4,2017,True
