name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
successful,Sweetener,Ariana Grande,2018-08-17,3.79,70,0.847,0.107,0.847,0.603,7.400000000000001e-06,0.106,-4.607,0.0397,114.045,4,2018,True
Tattooed Heart,Yours Truly,Ariana Grande,2013-01-01,3.25,61,0.536,0.41,0.536,0.521,0.0,0.142,-4.128,0.0274,72.06,4,2013,True
Baby I,Yours Truly,Ariana Grande,2013-01-01,3.29,59,0.725,0.0154,0.725,0.7959999999999999,0.0,0.354,-3.6839999999999997,0.0326,101.976,4,2013,True
pete davidson,Sweetener,Ariana Grande,2018-08-17,1.23,69,0.652,0.43,0.652,0.31,1.1599999999999999e-05,0.182,-10.212,0.0509,119.913,4,2018,True
better off,Sweetener,Ariana Grande,2018-08-17,2.86,70,0.597,0.21600000000000003,0.597,0.524,0.0,0.11199999999999999,-7.247000000000001,0.0537,92.568,4,2018,True
My Favorite Part,The Divine Feminine,Mac Miller,2016-09-16,3.6,75,0.861,0.627,0.861,0.33,1.93e-06,0.14,-7.194,0.0526,95.016,4,2016,False
Dance To This (feat. Ariana Grande),Dance To This (feat. Ariana Grande),Troye Sivan,2018-06-13,3.86,14,0.736,0.00632,0.736,0.7559999999999999,0.00577,0.106,-7.099,0.047,117.016,4,2018,False
Just A Little Bit Of Your Heart,My Everything,Ariana Grande,2014-08-21,3.88,6,0.43200000000000005,0.706,0.43200000000000005,0.32799999999999996,0.0,0.0958,-5.9079999999999995,0.0275,77.919,4,2014,True
raindrops (an angel cried),Sweetener,Ariana Grande,2018-08-17,0.63,69,0.336,0.9420000000000001,0.336,0.231,0.0,0.188,-6.2170000000000005,0.0497,168.685,5,2018,True
blazed (feat. Pharrell Williams),Sweetener,Ariana Grande,2018-08-17,3.27,62,0.795,0.0793,0.795,0.759,0.0,0.0805,-6.348,0.0528,110.021,4,2018,True
the light is coming (feat. Nicki Minaj),Sweetener,Ariana Grande,2018-08-17,3.81,68,0.877,0.0122,0.877,0.547,1.51e-05,0.027999999999999997,-5.705,0.18,99.03399999999999,4,2018,True
borderline (feat. Missy Elliott),Sweetener,Ariana Grande,2018-08-17,2.96,63,0.7609999999999999,0.057999999999999996,0.7609999999999999,0.818,0.0,0.11,-5.2379999999999995,0.0978,110.99,4,2018,True
Moonlight,Dangerous Woman,Ariana Grande,2016-05-20,3.37,7,0.368,0.41600000000000004,0.368,0.402,2.66e-06,0.0498,-7.474,0.0398,204.045,3,2016,True
Greedy,Dangerous Woman,Ariana Grande,2016-05-20,3.58,3,0.631,0.0392,0.631,0.7070000000000001,0.0,0.10400000000000001,-5.273,0.0893,109.98299999999999,4,2016,True
Leave Me Lonely,Dangerous Woman,Ariana Grande,2016-05-20,3.83,1,0.498,0.611,0.498,0.45,2.18e-05,0.344,-7.452000000000001,0.0318,90.569,3,2016,True
Sometimes,Dangerous Woman,Ariana Grande,2016-05-20,3.78,1,0.359,0.09,0.359,0.66,0.0,0.34299999999999997,-5.396,0.289,79.196,4,2016,True
I Don't Care,Dangerous Woman,Ariana Grande,2016-05-20,2.97,1,0.581,0.737,0.581,0.408,3.54e-06,0.163,-8.225,0.0479,111.83,4,2016,True
